n_samples,epsilon,DP_mse_mean,DP_mse_se,PMS_mse,DP_runtime_mean,DP_runtime_std
300,0.1,0.24612427270717147,0.03543632973520212,0.0,0.03546907501295209,0.007196210386551992
300,0.2,0.05264063168207034,0.006449825000592522,0.0,0.034555262431968006,0.007587406262062872
300,0.5,0.0050483570115209,0.0004572745405784174,0.0,0.033257660502567885,0.0054347864044504935
300,1.0,0.0022703641822416284,0.0002878250998463063,0.0,0.031173331337049602,0.006340272822148315
600,0.1,0.10211243146046087,0.011006732854725948,0.0,0.10167572487844154,0.018212005899534783
600,0.2,0.01852166983806183,0.0024231828917061727,0.0,0.10131970415823162,0.013735562177597516
600,0.5,0.0021589555681478544,0.0002868436788536058,0.0,0.10163128543645143,0.015331432950709245
600,1.0,0.000685358665317381,0.00010222858413619819,0.0,0.09958255629753694,0.020746423638724712
1200,0.1,0.02727815588060851,0.0029513749777417917,0.0,0.31036143748788164,0.05417511403201377
1200,0.2,0.008805951032426734,0.0011118392922823724,0.0,0.30854463144205513,0.05793949465452487
1200,0.5,0.001274093071395877,0.00014345862761223303,0.0,0.2965137271094136,0.050342607919646336
1200,1.0,0.00041902412598559494,8.678025215623241e-05,0.0,0.3123512060265057,0.053795693586606214
2100,0.1,0.01138348345636383,0.0011507990172984442,0.0,0.907430399954319,0.20296598759064013
2100,0.2,0.0028385523880112167,0.00030628593139249443,0.0,0.8138276709243655,0.13148083482850267
2100,0.5,0.0006422190505272099,6.987743610039166e-05,0.0,0.8210681395488791,0.14542334964992806
2100,1.0,0.00017337523525858627,2.0321543341914068e-05,0.0,0.8783535208553076,0.1618494347786784
