n_samples,epsilon,DP_mse_mean,DP_mse_se,PMS_mse,PMS_runtime_mean,PMS_runtime_std,DP_runtime_mean,DP_runtime_std
200,0.1,0.6473843724445474,0.11793767286320825,0.0,0.017461035412270575,0.006497436242823319,0.03795438334345817,0.024899513376240065
200,0.2,0.1369404153977312,0.014996989631834982,0.0,0.01888265829766169,0.006842999487617049,0.037279127002693715,0.0101899472530411
200,0.5,0.04290612715045532,0.004475491421836901,0.0,0.01590180635685101,0.0034698464130773366,0.03490647705039009,0.007593521253506955
200,1.0,0.037285728534119295,0.006693074744867077,0.0,0.02093410224188119,0.008810428020507122,0.04178919167025015,0.009999565634312119
500,0.1,0.14968312039057355,0.023786289241027676,0.0,0.05804510614834726,0.008480421142855942,0.12537747711176053,0.01922055847640256
500,0.2,0.04283248755485754,0.003937376314092034,0.0,0.061098439700435846,0.011030138318947008,0.134428814612329,0.025613535930185328
500,0.5,0.025818340875652303,0.003988774330286872,0.0,0.06714233971433714,0.015239568167920844,0.14389641255838798,0.029726686512772417
500,1.0,0.019153201582328576,0.0026405944055747192,0.0,0.04652360419277102,0.010058219573904799,0.0978510251501575,0.01918853235297911
1000,0.1,0.05913293337523984,0.008085442638097939,0.0,0.19192195837385953,0.020098383831076413,0.3904828021884896,0.0798569382686631
1000,0.2,0.02151719991817595,0.0025809512287366977,0.0,0.15077294162474572,0.020599916938899725,0.28946018752176317,0.04240629852869104
1000,0.5,0.013927348632822103,0.0016494729009386563,0.0,0.20056095405016094,0.05970217606618037,0.3554194062482566,0.10111944512279598
1000,1.0,0.013210706596464833,0.0016781425811309304,0.0,0.15392565823858603,0.02426074480091132,0.3224750269670039,0.06912256574467711
2000,0.1,0.024340819434272902,0.0017129635673918421,0.0,0.539774079353083,0.06411330343241044,1.0850809604045935,0.15585923056187714
2000,0.2,0.01152110268101882,0.001002974667875911,0.0,0.5215954853454605,0.06501976875151431,1.0249282499193213,0.1580902654426733
2000,0.5,0.007733346886581656,0.0010723056518423773,0.0,0.47643672300037,0.051137907148315585,0.9518126271432266,0.19426830512168944
2000,1.0,0.00679536726084948,0.0010483832795766099,0.0,0.5703563707764261,0.08139176205091651,1.014568793796934,0.22076241674468758
